가성비좋아요 가끔 생각날 맛,
저는 야채랑 양념 더 매콤하게 해서 먹었는데 그냥 먹기도 나쁘지는 않은거 같아요 기본적으로 양념이 매콤하고 괜찮더라구요,
맛좋고 가격도 좋고  순대곱창에 양배추  편마늘 넣어서 같이 조리해서 먹었어요,
순대곱창 먹고 싶을 때 좋아요,
순대가 맛있길래 구입해봤어요,
먹을만 했어요    ,
자주 품절이 되네요  좋아하는 맛입니다 ,
아들이 먹고 싶대서 샀는데 해먹기 편하겠어요,
양이 좀 적다는 평이 있는데 저는 좋아요,
싸고 맛있어요 좋아요,
소스는 맵고 짠데다 내용물도 적어요  그래도 여러 채소와 섞어 볶으면 집에서 먹는 술안주로는 괜찮아요,
양도 많고 맛있어요,
괜찮아요  구매 잘 했네요  재구매 의사 있어요 ,
배송도 깔끔하고 제품하자 없고 좋아요  ,
여기에 파 양파 넣어서 볶아먹음 맛있음,
맥주안주로 좋아요 ㅋㅋ,
맛있어요 ㅎㅎ잘 먹었어요,
배송 빠르고 편리하네요,
맛있게 잘 먹었어요 ,
양도 좀 적고 양념이 맵고 짜지만  양배추  당면  들깨가루 넣고 볶아 먹으면 안주용으로 좋아요,
매우신거좋아하시는분들은 좋아할맛 맵찔이는 그닥 ㅎㅎ,
양이 진짜 조금이어요 ,
혼술하기 딱이예요 ,
한번씩 먹거 싶어 구매합니다,
잘쓸게요 감사해요 ,
겉포장만 빼고 전자렌지에  분  초면 그대로 넣으면 끝  포장신기하고 맛도 매콤하니 굿  최고의 맥주안주 ,
궁금해서 사봤는데 생각보다 맵더라구요 양은 푸짐해써요,
맛있어요 근데매움 ㅎㅎ,
존맛탱입니다 강추해요,
엄청 맛좋네요  유통기한이 좀 짧지만 순대와 곱창 양념에 밥까지 비벼먹으면 햇반  개 뚝딱입니다 ,
순대곱창볶음 매콩하고 맛있습니다,
즐겨먹는 메뉴입니다 ,
짜 어어오아이라러어어넝,
남편이 먹고싶어해서 구매했어요  짜파게티에 넣어서 퓨전음식으로 해먹은것 같은데 맛은 따로먹는게 더 좋을것같아요 ㅎㅎ,
이건 아주 강추입니다 ,
너무 양념이 세서 저한테는 짰어요ㅜ,
맛있습니다  계속 먹고 있어요,
빠른배송 이마트 편해요,
조금 매콤한 편이에 ㅎ,
가격 착하고 맛도 있었어요   ,
양은 적은데 괜찮아요 ,
오 의외로 좋아요 곱창 질기지만 양배추 깻잎 더 넣어 찹찹,
맛있는데 쫌 매워요 ,
좀 맵지만 맛있어요,
늘 애용하는 제품입니다 감사합니다,
다신 안사먹을 맛이더군요ㅠ,
저렴하게 잘 샀어요,
다시 재구매 안해요 별루에요,
양이 너무 작고 곱창은 몇개 없네요,
저렴하게 구매했어요,
매워서 못먹겠어요 ,
양이 적은듯한 기분,
그냥 가격만큼인 제품입니다 생각보다 많이 매워요  순대는 괜찮은데 곱창이 많이 질기네요,
맛있고 전자레인지 조리가 가능해서 편해요,
너무 맛있어요 한번살때 여러개 사놓습니다,
좋아요 좋아요 좋아요,
냄새 안나고 양념이랑은 맛있어요 곱창은 질겨서 못먹었어요,
먹을만합니다 야식으로좋으네요 편하고,
가성비 괜찮은데 저한텐 맛이 좀 자극적이네요,
양 많고 신선해서 좋아요 ㅎㄹ,
넌구든돈 넌걷 그나,
자주 주문하는 상품입니다 ,
맛있어요  간편하고 다만 좀 질겨요 ,
맛있는데 곱창이 좀 질겨요 ㅠ,
만족합니다  항상 애용합니다 ,
그냥 그랬어요 재구매는 안하려고요 ,
배송 빠르고 좋아요,
야채랑 당면 적당히 넣어서 먹으면 넘 맛있어요   ,
맨날 사먹는 것 추천합니다,
언제나 주문하는 상품입니다  좋아요 ,
고객님의 리뷰가 다른 고객들에게 도움이 될 수 있어요 ,
맛있어요 자주이용합니다,
생각보다 맛있어요  곱창이 엄청 질기긴 한대    채소도 있고 순대도 맛있어요  다만 용기째 전자레인지에 돌려서 환경호르몬이 나오진 않을까 걱정이 됐어요  안전한거 맞겠죠  ,
저렴하게 잘 구매했어요 ,
정말 강추에요  양이 많지 않아서 야채를 듬뿍 넣으면 가족 한 끼 식사로 충분해요 그런데 제 입에는 매워요  그래서 야채를 많이 넣어 먹습니다 정말 맛있어요  ,
밥맛 없을때 먹으면 입맛이 돌아와요,
가격이 좀 비싸지만 맛은 괜찮았습니다 ,
매콤하지만 맛있ㄱㅔ 잘 먹었어요,
혼술할때 이 보다 좋은 안주가 있을까 싶네요 ㅎㅎ,
매번 사서 먹어요  타사보다 좋음,
냄새도 안나고 맛있어요,
생각보다 맛있어요 ,
약간 비린내가 나지만 야채 더 넣어 잘 먹었어요,
저렴하게 구입했어요,
저렴하게 구입 어요,
간편하게 안주해결  ,
좋아요 맘에둘어요 굿,
취향이겠지만 전 별로였어요ㅠ 질기고 냄새도 좀 나고 재구매의사는 별로 없습니다ㅜ,
간단히 순대곱창 땡길때 딱이에요,
노부랜드 곱창 맛있습니다 ,
곱창너무질기다 ㅜㅜ,
맛있어서 자주 구매해요,
그저그랬던 거 같아요 ,
역시 최고네요 배송도 빠르고 잘 애용 하게 되네요,
유명해서 구매했는데 맛나요,
한끼 먹기 딱 좋아요 채소랑 같이 쌈싸먹어도 맛있고 양념에 소면 넣어서 먹으니 좋네요,
맛있어요 매번사요   ,
매콤하니 맛있네요 ,
간편하게 렌지에 돌려먹기 좋습니다 ,
간편하고 가끔 먹기 좋아요,
잘 받았어요     좋아요    ,
곱창은 거의 뭐 안보여요,
안주용으로 구매ㅋㅋ가끔 혼술용,
구성은 무난한데 전자렌지보다 확실히 끓이는게 나을듯,
좋아요 잘삿어요   ,
재고있을때사두면좋아요,
간식으로 아주 좋아요 ,
양념이 많은 편이에요,
생각보다 매워요  ,
저렴하게 곱창 맛볼 수 있음,
한번씩 먹기좋은 곱창,
순대는맛있는데 곱창은별로에요,
맛은 괜춘  양 좀 적어요,
한팩 꺼내 데워먹으니 딱 좋아요 매콤하고 간편해서 좋네요,
너무맵습니다  아이먹기힘듦,
가성비 최고입니다  맛은 당연히 좋습니다 ,
빠른배송 감사합니다,
간단하게 해먹기 너무 좋아요,
정말 맛있어요 늘 주문하는 거예요,
순대곱창 볶아서 야채넣고 맛나게 먹었어요 ,
마음에드는 상품입니다,
 No Brand   노브랜드  순대곱창볶음    g 속 아프게 맵네요,
적당히 맵고 맛있어요,
간편하게 먹기 나쁘지 않았어요,
야식으로 먹엇는데 맛잇어용  ,
순대곱창 좋아요 맛나요,
잘 받았어요    ,
가끔 삽니다 좋아요 ,
잘받얏어요 ㄱㅅㅋㅅ,
후기가 좋아서 사봤어요,
소스맛이  프르 부족한데 간편해서 먹을 만은 해요,
무난히 괜찮은 간편식입니다 ,
잘 받았습니다  감사합니다 ,
감사합니다 감사합니다,
와 우 곱창이 냄새도 안나고 완전 맛나요,
아직 안먹어븜 마싯겟죠,
첫 향은 약간 초고추장 향인ㄱㅏ 싶은데 먹을수록 맛있어요  나중에 또 구매할거같아요,
저렴한 가격에 빠른 배송 맛있어요,
양배추껫잎넣고  맛있네요 ,
자주구매하는데 맛있어요,
순대곱창 야식으로 추천합니다  적당히 야채 더 넣어주면 더 맛있어요,
그냥저냐요      ,
저한텐 살짝 맵지만 그래도 맛있어요 ,
착한가격에 맛도 좋아요 ,
맛있어요 매콤해서 어른들 먹기 좋아요,
안주거리로 추천 드릴만합니다 ,
늘 주문하는거에요 좋아요,
마늘 양파 당근 떡 등 더 넣어서 볶아먹으면 양도많아지고 너무 맛있어요,
먹을만 하네요 순대 추가해서 먹었어요,
간단하게 술안주로도 좋아요,
생각한 것보다 매웠디만 맛있었어요,
이가격에 이정도면 매우만족입니다  맵기는 불닭에 한 절반정도고 살짝 얼얼합니다  양은 써있는 만큼 들어있고 야채도 조금 들어있어요  순대는 맛있고요 곱창은 아주 아주 조오금 살짝 질기다기보단 말랏다는 느낌  곱창양 꽤 있고 누린내는 역하다는 느낌은 없습니다  나는듯 안나는듯  양념이 쎄서 잘 안느껴지네요 ,
아직 먹어보지는 않았지만 기대 되네요,
요거 물건입니다 순대볶음생각날때 간단히 먹기좋아요,
처음 먹어봤는데 정말 맛있어요,
맛있어요 양도많아요 잘먹을게요,
냄새도 거의 안나고 맛있어요 혼자 상추쌈에 계란찜에 맛있는 한끼 했네요 집에 가족들이 곱창을 안좋아해서  인용으로 딱이에요 ㅎ,
아직안먹어봤는데너무맛날것같아요,
항상 시켜먹어요 후회없어요,
양이 적지만 맛있어요  조금 매워요,
기대를 너무했나봐요 맛없어요,
맛나요    좋아요,
너무 맛있어요   ,
순대볶음 곱창볶음 러버라면 꼭 드셔유   분 전자렌지에 돌리구 양파  깻잎  마늘 추가해서 후라이팬에 볶아 먹으면 너무 맛이 ,
저녁 야식으로 적당한 양이네요,
생각보다 훨씬 괜찮네요 근데 매워요,
간단간식으로 사봤어요  쉽고 빠르게,
조아요 조아요 조아요,
자주사먹어요좋습니다,
가격대비 넘 최고예요,
순대랑 야채 더 넣고 먹어도 맛있어요,
잘 받았어요 많이 파세요,
야채랑 당면 넣으면 식당에서 먹는거랑 똑같아여 ㅠㅠㅠ 완전 맛있어요 ,
술안주로 좋아요  ,
너누 밋있고 조리도 너무나 간단하고 정말 좋아요,
간단한 안주로 최고네요,
양이 적지만 혼자 나가지않고 집에서 먹기 너무 편하고 밥이랑 먹으면 한끼 식사됩니다,
좋아요  늘사는것입니다  ,
매콤하니 맛이 괜찮네요   분   초 데웠는데 순대가 살짝 딱딱한 느낌이라   초정도 더 데워도 될듯  간편하고 맛있어용,
맵고 짜다길래 야채를 너무 넣었나봐요 너무 야채 많이 넣지 마세요,
늘사던거예요 편하게 배송받아 좋아요,
아직 먹어보진 않았지만 후기가 좋아서 믿고시켰습니다,
가격대비 괜찮아요 ,
맛있어요  양이 적은가싶었는데 깻잎좀 추가해서 먹으니 양도 적당하네요,
간편하게 먹기 좋아요,
맛있는데 뜯기가 힘들어요,
항상 주문합니다    ,
맛  가성비 최고에요,
진짜 맛있어요    순대 곱창 다 많아요,
좋아요   맛있어요 ,
순대와 곱창 동시에 먹기좋아요,
그냥 보통맛이예요 양은 적어서 아이 간식으로 좋네요,
맛있어용 ㅋㅋ 잘삿어요,
생각보다 맛있어서 놀랏어용 매콤하구용,
잘 먹었습니다 좋아요,
맛있어요 다음에도 시킬께요,
너무 매워요     ,
피코크는 믹고 먹습니다,
맛나요  잘먹을께요 ,
쓱 배송으로 빠르고 가격 저렴 하고,
매번 구매하눈 제품으로 잘 먹고 있어요 집앞까지 편하게 배송 받아서 좋네요 앞으로도 자주 이용할랍니다,
양도 괜찮고 맛있어요,
냄새도 안 나고 맛있어서 재구매,
이거 진짜 맛있어요 흑,
너무 맛있어서 재구매했어요,
매운거 잘못먹는데 저한테는 매웠습니다,
순대곱창 땡길 때 간편하게 먹기 좋아요,
노브랜드 제품중 저희 집에서 탑중에 하나에요 가격도 저럼하고 맛도 좋고 나중에 막창은 안생기나 모르겠네요 가심비 좋은 제품인것 같아뇨 매콤하기도하고 순대도 맛나고 양념도 조희한테는 잘 맞아뇨,
내용물이 빈약하다  충분히 좀,
So sweet Like it lol    ,
걍 그랬어요  살짝 냄새도 나고 ,
양념이 매콤하니 맛있어요 근데  인분 양이 너무 작아 먹을게 압스ㅓ,
양은 적지만 ㅎ 맛있게먹었어요,
좀 맵지만 야채 추가해서 먹으면 맛나요,
맛있네요  캠핑가서 먹기 좋았어요 ,
몸에 해로울것같은맛   ,
곱창은 질기고 맛이 없어요,
가격대비 맛있게 잘 나왔습니다,
매워요 ㅠㅠ 매워서 무슨 맛인지도 모르겠어요 ㅠㅠ,
진짜괜찮아요 곱창도많이들어있고 잡내도안나도 순대도 넉넉하고 전 재구먀의향있습니다,
맛있어서 자주 사먹어요,
생각보다 양은 적네요 짭니다,
가성비좋구요 맛있어요,
배송 빠르고 좋습니다,
간단하게 먹기 좋아요  ,
좀 매운편인데 그래도 맛나요,
맛나요    인분 정도고 야채 좀거 추가해서 먹음 마쁘지  아요,
항상 시켜먹음요 ㅋㅋ,
술안주로 기가 막혀요,
양이 적어 아쉬워요,
맛있고 좋네요   ,
항상 사는제품이요 ,
가끔씩 밤에 먹을만해요,
자주 시켜요 좋아요,
너무 맵고 자극적이에요 ,
맛있게 잘먹었어요 ,
찹쌀순대랑 약간 찔깃한 곱창이 조금씩 들어있어요  양념 맛은 괜찮았어요,
양이 정말 쓰여있는데로  인분이에요  ,
노브램드 최애식품이에요 맛있어요,
양념은맛있어요   ,
리뷰가 좋아서 사봤는데 생각보다 너무 냄새나고 맛이없네요 ㅜㅜ,
맛있게 잘 먹었습니다 ,
생각보다 양이 적었어요  다른분들의 리뷰처럼 양념이 많아서 순대와 야채를 추가하여 먹으니 맛있어요  가격면에서는 주문음식과 별차이 없는것 같고  장점은 내가 먹고 싶을때 아무때고 먹을 수 있다는 것  그리고 레또르트 식품이라 안에 있는 야채  등이 아주 작다는것    첨에 야채가 없는 줄 ,
저렴하고 맛있어요 재구매의사 있음  ,
너무 맛있게 잘먹고 있어요,
좋아요 편리하고 슥ㄱ,
이거 맛나요 맛도좋고 냄새도 안나고,
진짜 소스맛나고 곱창 냄새안나서 좋음,
소주 안주로 좋아요,
별로예요   한번 구매햇어요,
좀 달고 곱창이 정말 질겨요   ㅎ 재구매의사는 없슴다 ,
맛나요 크게 비릿내 안나고 양념도 맛납니다 굿,
비상식량으로 쟁여둬요  아이들이 별식 먹고 싶을때 알아서들 해먹네요  맛도 굿  가격도 굿  중학생이 조리 해먹을수 있을 정도로 간편하게 나왔어요 ,
한끼잘먹엇어요 조금매워요,
맵고 질겼어요  전자렌지 안쓰는데 못보고 주문해서 직화로 했더니 그런가 싶어요  씹어도 씹어도 그대로고 매워서  싫어하는 사람이랑 먹으면 좋을 것 같아요 ,
아 진짜 냄새 너무 심 ,
양이 적당해서 좋아요,
맛있어요   인분양으로 적당하고  예상외로 곱창이 고퀄이라 놀랬네요,
다시 살 만큼은 아니지만 한 번 먹어보기 나쁘진 않았어요,
할인때 저렴하게 구매했는데 가격대비 괜찮았네요,
음 곱창순대 생각보다 많아요 간단히 먹기 좋아요,
재구매합니다 맛있어요,
순대 곱창 볶음 맛나요,
맛있어요 매콤하니 술안주로 딱이네요,
생각보다 맛있어요 ,
맛있어요 가격도 저렴하고  쟁여놓고 술안주로 종종 꺼내먹어요,
이건 그냥 그래요  ,
강추강추합니다요 정말로,
양이 적지만 맛나요 ㅋㅋ,
좋아하는 순대곱창 볶음 입니다  혼술 안주네요,
처음 구매했는데 맛은 아직전입니다 ,
양이 좀 아쉽지만 그래도 그럭저럭  ,
맛있는데 꽤 매워요 ,
빠른 배송 감사합니다,
신선하고 좋아여 ㅇㅇㅇㅇ,
맛납니다 굳굳굳입니다,
가격 대비 구성 좋고 맛있어요  소스는 매콤한 편이라 양배추와 양파도 넣어먹어요,
저렴하게 잘 샀어요,
맛 괜찮고 저렴해서 자주 먹어요,
진짜 맛있어요ㅎ 매운데 계속 먹게되요,
자주 주문해요  맛있어요,
맛있어요 추천합니다,
딸이 곱창을 좋아해서 시켰는데 맛있다고 하네요 양이 작아서 아쉬웠어요,
역시 아주 맛있게 먹겠습니다 ,
항상 구입해서 먹고있어요 ,
배송 굿이네요 신선해요 굿굿 벗 양이 좀,
상품좋아요 아주좋아요,
맛있어요 추천합니다 ,
좋습니다 감사합니다,
음  ㅜㅜ 순대 냄새가 나고 간이 너무 쎄요    앞으로 완제품은 안 사먹으려구요   ,
노브랜드작중실패작임,
늘 구매하는 제품이예요 맛있어요,
맛있어서 재구매했어요ㅋ,
맛있는데 좀 매운 편,
아직 안먹어봤지만 기대돼요   ,
곱창이 질기긴한데 그래도 먹을만해요,
생각 보다 매워요 ,
조금 맵지만 양도 많고 맛있어요,
양이 은근 많아요  ,
이거 진짜 좋아요 ㅠ  ㅠ   다른 브랜드 곱창들은 진짜 비싼ㄷ 이건 싸고 맛있어요,
막맛잇는편은아니었어요ㅠ,
이전에 한번 먹어본적 있는데 맛있었던 기억이 있어서 주문했어요 양도 적지 않네요 조리도 쉽고  충분히 개인 취향에 따라서 가감이 가능해서 더 좋네요 ,
여기에 순대나 야채를 추가하면 좋아요 ,
즐겨먹는데 맛있어요,
간편하고 맛있어요  ,
맛있고 두끼정도 혼자서 해결하기 가능,
냄새안나요  다른 야채 잔뜩 넣어도 간이 맞네요 ,
기사님이 누락하셨다가 바로 보내주셔서 ㅎㅎ 저녁으로순삭했넹ㅎ ㅎㅎ 맛있어요   ,
간편하게 먹긴 좋으데 양이 적어요,
가성비 좋은 제품 한 끼 때우기 좋아요,
술안주로 먹을만 해요 ,
순대는 맛있는데 곱창은 질겨요 양은 둘이 안주로 먹기 딱 좋구요 양념은 매콤하지만 맛나요 야채도 적당히 들어있구요,
생각보다 건더기도 있고 맛있네요 간편하고,
가성비가 좋아요 자주 먹을거같아요,
좋아요 좋아요 좋아요,
적당히 매운맛이 기분좋네요 맛도 최고,
아직 먹어보진 않았는데 괜찮음 재구매해야겠어요,
늘 구매합니다  가격대비 정말 괜찮아요,
맛잇어여 ㅠㅠ 양 엄청 많음,
넘 매워서 다른 재료 더 넣어 먹어욤,
야채 추가해서 볶은후 깻잎에 싸먹으니 짱맛   안주로 제격입니다  ,
간편술안주로 좋네요,
매콤하고 일인분으러 적당한것같아요 어른이들의 술안주로 좋은듯요,
아직 안 먹었으나 맛있어보임,
맛은  있지만  양이 너무 적습니다,
그냥 기대없이 간단히,
맛있어요 맛있어요  ,
간단한 야식으로 좋은거같아요,
가격대비 좋습니다 ,
실하고 맛도 좋아서 재구매,
냄새걱정을 했는데 생각보다 좋았어요,
양념이  너무매워요 모랄까 깊이없이매워요 매운맛말고는 달거나 짜거나 그런맛이 없음 저렴한 스파이시소스 쓴거같은데 재구내의사없어요ㅠㅠㅠ,
그냥 가격 정도 하는 맛입니다,
냄새 안나고 좋은데 매워요 ㅠㅠ,
깻잎 양파넣으면 더맛잇어요 양도 많아요,
순대곱창이 넘 땡기는데 존맛이구먼유ㅑ,
먹다보면 매운데 먹을만함 존맛탱까지는아니고 맛탱,
와 진심맛있어요 간편하게 돌려서 야식으로 캔맥과 함께 먹는 중이요 재구매각입니다,
항상 구매하는 상품입니다 ,
맛있어요 재구매 의사있음,
야채 추가해서 볶아서 맛있게 먹었어요  양념 묻은 포장재는 깨끗이 씻어서 분리수거했어요 ,
맛있어용 꽤 ㄴㅎㅎ,
이건별로에요 맵기는많이맵고 먹을거없네ㅛ,
갑자기 순대볶음땡길때  굿,
살짝 매콤하니 맛있어요 양도 딱이예요 남김없이 먹을 수 있어요,
항상 맛있어요 좋아요,
가격 저렴하고 맛도 좋고 최고    ,
노브랜드 순대곱창볶음 최고입니다  ,
맛있어요 한끼 딱 좋아요,
매콤하고 혼자 가볍게  먹기좋아요,
맛있어요 소스가 넉넉해서  밥이랑 김이랑 참기름넣어서 비벼먹으면 굿,
빠른배송 합리적인 가격에 맛도 좋아요,
이거는  약간ㅜㅜ잘모르겟어요  곱창도 몇개없구ㅜ,
맛있어요   당면도 들어있고 곱창이나 순대도 냄새 안나서 좋아요  양념 너무 맛있네요  순대곱창볶음 혼자 먹고싶을 때 딱  인분 먹고 밥 볶기 좋아요,
맛있어서 재주문 했어요,
좋아요 자주구매해요,
잘 구매했습니다 굳굳,
양이 너무 작네요   ,
매번 구매하는 제품이에요,
